Source,Target,Type,Id,Label,timeset,Weight,,,Id,Label
Mother Jones,CNBC,Directed,193,,,2,,,,
Mother Jones,Texas Tribune,Directed,194,,,2,,,,
Mother Jones,civilrights.org,Directed,195,,,2,,,,
Mother Jones,cis.org,Directed,196,,,1,,,,
Mother Jones,The Atlantic,Directed,197,,,1,,,,
Mother Jones,bls.gov,Directed,198,,,1,,,,
Mother Jones,The Sacramento Bee,Directed,199,,,1,,,,
Mother Jones,Vox,Directed,200,,,1,,,,
Mother Jones,citylab.com,Directed,201,,,1,,,,
Mother Jones,Brennan Center for Justice,Directed,202,,,1,,,,
Mother Jones,Reuters,Directed,203,,,1,,,,
Wall Street Journal,census.gov,Directed,204,,,25,,,,
Wall Street Journal,Pew Research,Directed,205,,,9,,,,
Wall Street Journal,Twitter,Directed,206,,,6,,,,
Wall Street Journal,The Conversation US,Directed,207,,,2,,,,
Wall Street Journal,New York Times,Directed,208,,,1,,,,
Wall Street Journal,propublica.org,Directed,209,,,1,,,,
Wall Street Journal,sfchronicle.com,Directed,210,,,1,,,,
Wall Street Journal,Economic Policy Institute,Directed,211,,,1,,,,
Wall Street Journal,citylab.com,Directed,212,,,1,,,,
Wall Street Journal,Miami Heral,Directed,213,,,1,,,,
Guardian US,census.gov,Directed,214,,,10,,,,
Guardian US,Twitter,Directed,215,,,6,,,,
Guardian US,factfinder.census.gov,Directed,216,,,3,,,,
Guardian US,Pew Research,Directed,217,,,3,,,,
Guardian US,New York Times,Directed,218,,,3,,,,
Guardian US,Wikipedia,Directed,219,,,1,,,,
Guardian US,Washington Post,Directed,220,,,1,,,,
Guardian US,NPR,Directed,221,,,1,,,,
Guardian US,CNN,Directed,222,,,1,,,,
Guardian US,brookings.edu,Directed,223,,,1,,,,
Guardian US,YouTube,Directed,224,,,1,,,,
Guardian US,The Sacramento Bee,Directed,225,,,1,,,,
Guardian US,The Conversation US,Directed,226,,,1,,,,
Guardian US,FiveThirtyEight,Directed,227,,,1,,,,
Guardian US,Politifact,Directed,228,,,1,,,,
CNBC,census.gov,Directed,229,,,5,,,,
CNBC,Twitter,Directed,230,,,2,,,,
CNBC,YouTube,Directed,231,,,1,,,,
CNBC,bls.gov,Directed,232,,,1,,,,
CNBC,commerce.gov,Directed,233,,,1,,,,
CNBC,Wall Street Journal,Directed,234,,,1,,,,
1755,census.gov,Directed,235,,,31,,,,
1755,Twitter,Directed,236,,,4,,,,
1755,Pew Research,Directed,237,,,3,,,,
1755,New York Times,Directed,238,,,3,,,,
1755,Vox,Directed,239,,,3,,,,
1755,factfinder.census.gov,Directed,240,,,1,,,,
1755,propublica.org,Directed,241,,,1,,,,
1755,18364,Directed,242,,,1,,,,
1755,USA Today,Directed,243,,,1,,,,
1755,FiveThirtyEight,Directed,244,,,1,,,,
Reuters,New York Times,Directed,245,,,1,,,,
Reuters,Wall Street Journal,Directed,246,,,1,,,,
FiveThirtyEight,census.gov,Directed,247,,,42,,,,
FiveThirtyEight,New York Times,Directed,248,,,8,,,,
FiveThirtyEight,Wikipedia,Directed,249,,,7,,,,
FiveThirtyEight,ballotpedia.org,Directed,250,,,6,,,,
FiveThirtyEight,Twitter,Directed,251,,,3,,,,
FiveThirtyEight,Washington Post,Directed,252,,,3,,,,
FiveThirtyEight,factfinder.census.gov,Directed,253,,,2,,,,
FiveThirtyEight,Pew Research,Directed,254,,,2,,,,
FiveThirtyEight,NPR,Directed,255,,,2,,,,
FiveThirtyEight,Vox,Directed,256,,,2,,,,
FiveThirtyEight,CNN,Directed,257,,,1,,,,
FiveThirtyEight,propublica.org,Directed,258,,,1,,,,
FiveThirtyEight,brookings.edu,Directed,259,,,1,,,,
FiveThirtyEight,The Atlantic,Directed,260,,,1,,,,
FiveThirtyEight,commerce.gov,Directed,261,,,1,,,,
FiveThirtyEight,Economic Policy Institute,Directed,262,,,1,,,,
FiveThirtyEight,citylab.com,Directed,263,,,1,,,,
FiveThirtyEight,NBC News,Directed,264,,,1,,,,
FiveThirtyEight,CNBC,Directed,265,,,1,,,,
FiveThirtyEight,democraticredistricting.com,Directed,266,,,1,,,,
Politico,census.gov,Directed,267,,,7,,,,
Politico,New York Times,Directed,268,,,4,,,,
